Source:,C:\Users\Carlo Carino\Documents\IOTNINJA\ninja-box-1-design\hat\hat.sch,,,,,
Date:,1/4/2022 22:05,,,,,
Tool:,Eeschema (5.1.10)-1,,,,,
Component Count:,41,,,,,
Ref,Value,Footprint,Datasheet,Manufacturer,Vendor,
C1,10u,smd_0805,~,,https://shopee.ph/3pcs-surface-mount-capacitors-0805-multilayer-ceramic-capacitor-MLCC-SMD-cap-caps-2012-metric-code-i.64815518.1748059527?sp_atk=7d1b7fe9-1e80-41e1-9414-f4d2985ee043,
C2,0.1u,smd_0805,~,,https://shopee.ph/20pcs-0805-CAPACITOR-100nF-104-0.1uF-50V-SMT-SMD-CHIP-CAP-i.272922820.6860404215?sp_atk=a6e686bd-272d-4624-baa9-d5ef38e6c474,
C3,10u,smd_0805,~,,https://shopee.ph/3pcs-surface-mount-capacitors-0805-multilayer-ceramic-capacitor-MLCC-SMD-cap-caps-2012-metric-code-i.64815518.1748059527?sp_atk=7d1b7fe9-1e80-41e1-9414-f4d2985ee043,
C4,10u,smd_0805,~,,https://shopee.ph/3pcs-surface-mount-capacitors-0805-multilayer-ceramic-capacitor-MLCC-SMD-cap-caps-2012-metric-code-i.64815518.1748059527?sp_atk=7d1b7fe9-1e80-41e1-9414-f4d2985ee043,
FAN1,Conn_01x02_Male,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal,~,,https://shopee.ph/30pcs-Pin-Header-Single-Row-Male-Pin-Connector-2.54mm-40-Pin-i.92393770.1655169182?sp_atk=e3bc873d-687c-4cda-b568-2971022d850c,
H1,MountingHole_Pad,mounting:pi_mounting_2.5_6,~,,https://shopee.ph/30pcs-Pin-Header-Single-Row-Male-Pin-Connector-2.54mm-40-Pin-i.92393770.1655169182?sp_atk=e3bc873d-687c-4cda-b568-2971022d850c,
H2,MountingHole_Pad,mounting:pi_mounting_2.5_6,~,,https://shopee.ph/30pcs-Pin-Header-Single-Row-Male-Pin-Connector-2.54mm-40-Pin-i.92393770.1655169182?sp_atk=e3bc873d-687c-4cda-b568-2971022d850c,
